trace,assoc,size,policy,misses,total,miss_rate
hello_c.LI.mem,1,1024,LRU,35845,180544,19.85
hello_c.LI.mem,1,1024,FIFO,35845,180544,19.85
hello_c.LI.mem,1,2048,LRU,28253,180544,15.65
hello_c.LI.mem,1,2048,FIFO,28253,180544,15.65
hello_c.LI.mem,1,4096,LRU,19701,180544,10.91
hello_c.LI.mem,1,4096,FIFO,19701,180544,10.91
hello_c.LI.mem,1,8192,LRU,12492,180544,6.92
hello_c.LI.mem,1,8192,FIFO,12492,180544,6.92
hello_c.LI.mem,1,16384,LRU,10210,180544,5.66
hello_c.LI.mem,1,16384,FIFO,10210,180544,5.66
hello_c.LI.mem,2,1024,LRU,32242,180544,17.86
hello_c.LI.mem,2,1024,FIFO,32882,180544,18.21
hello_c.LI.mem,2,2048,LRU,27137,180544,15.03
hello_c.LI.mem,2,2048,FIFO,27670,180544,15.33
hello_c.LI.mem,2,4096,LRU,15214,180544,8.43
hello_c.LI.mem,2,4096,FIFO,16003,180544,8.86
hello_c.LI.mem,2,8192,LRU,10600,180544,5.87
hello_c.LI.mem,2,8192,FIFO,11178,180544,6.19
hello_c.LI.mem,2,16384,LRU,7611,180544,4.22
hello_c.LI.mem,2,16384,FIFO,7920,180544,4.39
hello_c.LI.mem,4,1024,LRU,31189,180544,17.28
hello_c.LI.mem,4,1024,FIFO,32103,180544,17.78
hello_c.LI.mem,4,2048,LRU,27261,180544,15.10
hello_c.LI.mem,4,2048,FIFO,27934,180544,15.47
hello_c.LI.mem,4,4096,LRU,13475,180544,7.46
hello_c.LI.mem,4,4096,FIFO,14774,180544,8.18
hello_c.LI.mem,4,8192,LRU,8571,180544,4.75
hello_c.LI.mem,4,8192,FIFO,9228,180544,5.11
hello_c.LI.mem,4,16384,LRU,7294,180544,4.04
hello_c.LI.mem,4,16384,FIFO,7715,180544,4.27
hello_c.LI.mem,8,1024,LRU,31941,180544,17.69
hello_c.LI.mem,8,1024,FIFO,31691,180544,17.55
hello_c.LI.mem,8,2048,LRU,27526,180544,15.25
hello_c.LI.mem,8,2048,FIFO,28595,180544,15.84
hello_c.LI.mem,8,4096,LRU,12867,180544,7.13
hello_c.LI.mem,8,4096,FIFO,14478,180544,8.02
hello_c.LI.mem,8,8192,LRU,8279,180544,4.59
hello_c.LI.mem,8,8192,FIFO,9081,180544,5.03
hello_c.LI.mem,8,16384,LRU,7117,180544,3.94
hello_c.LI.mem,8,16384,FIFO,7547,180544,4.18
hello_cpp.LI.mem,1,1024,LRU,527368,2365478,22.29
hello_cpp.LI.mem,1,1024,FIFO,527368,2365478,22.29
hello_cpp.LI.mem,1,2048,LRU,401385,2365478,16.97
hello_cpp.LI.mem,1,2048,FIFO,401385,2365478,16.97
hello_cpp.LI.mem,1,4096,LRU,254832,2365478,10.77
hello_cpp.LI.mem,1,4096,FIFO,254832,2365478,10.77
hello_cpp.LI.mem,1,8192,LRU,133388,2365478,5.64
hello_cpp.LI.mem,1,8192,FIFO,133388,2365478,5.64
hello_cpp.LI.mem,1,16384,LRU,92251,2365478,3.90
hello_cpp.LI.mem,1,16384,FIFO,92251,2365478,3.90
hello_cpp.LI.mem,2,1024,LRU,482046,2365478,20.38
hello_cpp.LI.mem,2,1024,FIFO,489076,2365478,20.68
hello_cpp.LI.mem,2,2048,LRU,398531,2365478,16.85
hello_cpp.LI.mem,2,2048,FIFO,408063,2365478,17.25
hello_cpp.LI.mem,2,4096,LRU,190690,2365478,8.06
hello_cpp.LI.mem,2,4096,FIFO,205762,2365478,8.70
hello_cpp.LI.mem,2,8192,LRU,94397,2365478,3.99
hello_cpp.LI.mem,2,8192,FIFO,105905,2365478,4.48
hello_cpp.LI.mem,2,16384,LRU,42804,2365478,1.81
hello_cpp.LI.mem,2,16384,FIFO,47564,2365478,2.01
hello_cpp.LI.mem,4,1024,LRU,475184,2365478,20.09
hello_cpp.LI.mem,4,1024,FIFO,485756,2365478,20.54
hello_cpp.LI.mem,4,2048,LRU,409124,2365478,17.30
hello_cpp.LI.mem,4,2048,FIFO,419322,2365478,17.73
hello_cpp.LI.mem,4,4096,LRU,164649,2365478,6.96
hello_cpp.LI.mem,4,4096,FIFO,191238,2365478,8.08
hello_cpp.LI.mem,4,8192,LRU,51831,2365478,2.19
hello_cpp.LI.mem,4,8192,FIFO,65767,2365478,2.78
hello_cpp.LI.mem,4,16384,LRU,38875,2365478,1.64
hello_cpp.LI.mem,4,16384,FIFO,45968,2365478,1.94
hello_cpp.LI.mem,8,1024,LRU,473888,2365478,20.03
hello_cpp.LI.mem,8,1024,FIFO,475858,2365478,20.12
hello_cpp.LI.mem,8,2048,LRU,416168,2365478,17.59
hello_cpp.LI.mem,8,2048,FIFO,427024,2365478,18.05
hello_cpp.LI.mem,8,4096,LRU,152584,2365478,6.45
hello_cpp.LI.mem,8,4096,FIFO,185474,2365478,7.84
hello_cpp.LI.mem,8,8192,LRU,45199,2365478,1.91
hello_cpp.LI.mem,8,8192,FIFO,63007,2365478,2.66
hello_cpp.LI.mem,8,16384,LRU,37926,2365478,1.60
hello_cpp.LI.mem,8,16384,FIFO,45170,2365478,1.91
row.LI.mem,1,1024,LRU,567516,3094426,18.34
row.LI.mem,1,1024,FIFO,567516,3094426,18.34
row.LI.mem,1,2048,LRU,427365,3094426,13.81
row.LI.mem,1,2048,FIFO,427365,3094426,13.81
row.LI.mem,1,4096,LRU,274739,3094426,8.88
row.LI.mem,1,4096,FIFO,274739,3094426,8.88
row.LI.mem,1,8192,LRU,143068,3094426,4.62
row.LI.mem,1,8192,FIFO,143068,3094426,4.62
row.LI.mem,1,16384,LRU,103381,3094426,3.34
row.LI.mem,1,16384,FIFO,103381,3094426,3.34
row.LI.mem,2,1024,LRU,511853,3094426,16.54
row.LI.mem,2,1024,FIFO,518838,3094426,16.77
row.LI.mem,2,2048,LRU,406609,3094426,13.14
row.LI.mem,2,2048,FIFO,421717,3094426,13.63
row.LI.mem,2,4096,LRU,214590,3094426,6.93
row.LI.mem,2,4096,FIFO,234381,3094426,7.57
row.LI.mem,2,8192,LRU,112502,3094426,3.64
row.LI.mem,2,8192,FIFO,128139,3094426,4.14
row.LI.mem,2,16384,LRU,50698,3094426,1.64
row.LI.mem,2,16384,FIFO,56027,3094426,1.81
row.LI.mem,4,1024,LRU,510879,3094426,16.51
row.LI.mem,4,1024,FIFO,519977,3094426,16.80
row.LI.mem,4,2048,LRU,426059,3094426,13.77
row.LI.mem,4,2048,FIFO,436731,3094426,14.11
row.LI.mem,4,4096,LRU,184852,3094426,5.97
row.LI.mem,4,4096,FIFO,211386,3094426,6.83
row.LI.mem,4,8192,LRU,59886,3094426,1.94
row.LI.mem,4,8192,FIFO,75497,3094426,2.44
row.LI.mem,4,16384,LRU,46712,3094426,1.51
row.LI.mem,4,16384,FIFO,54736,3094426,1.77
row.LI.mem,8,1024,LRU,501365,3094426,16.20
row.LI.mem,8,1024,FIFO,502975,3094426,16.25
row.LI.mem,8,2048,LRU,429703,3094426,13.89
row.LI.mem,8,2048,FIFO,449568,3094426,14.53
row.LI.mem,8,4096,LRU,150659,3094426,4.87
row.LI.mem,8,4096,FIFO,182090,3094426,5.88
row.LI.mem,8,8192,LRU,54081,3094426,1.75
row.LI.mem,8,8192,FIFO,73376,3094426,2.37
row.LI.mem,8,16384,LRU,45581,3094426,1.47
row.LI.mem,8,16384,FIFO,53660,3094426,1.73
col.LI.mem,1,1024,LRU,570931,3094430,18.45
col.LI.mem,1,1024,FIFO,570931,3094430,18.45
col.LI.mem,1,2048,LRU,432266,3094430,13.97
col.LI.mem,1,2048,FIFO,432266,3094430,13.97
col.LI.mem,1,4096,LRU,276643,3094430,8.94
col.LI.mem,1,4096,FIFO,276643,3094430,8.94
col.LI.mem,1,8192,LRU,143948,3094430,4.65
col.LI.mem,1,8192,FIFO,143948,3094430,4.65
col.LI.mem,1,16384,LRU,103752,3094430,3.35
col.LI.mem,1,16384,FIFO,103752,3094430,3.35
col.LI.mem,2,1024,LRU,516167,3094430,16.68
col.LI.mem,2,1024,FIFO,524449,3094430,16.95
col.LI.mem,2,2048,LRU,413211,3094430,13.35
col.LI.mem,2,2048,FIFO,427418,3094430,13.81
col.LI.mem,2,4096,LRU,216735,3094430,7.00
col.LI.mem,2,4096,FIFO,235794,3094430,7.62
col.LI.mem,2,8192,LRU,112420,3094430,3.63
col.LI.mem,2,8192,FIFO,128057,3094430,4.14
col.LI.mem,2,16384,LRU,50643,3094430,1.64
col.LI.mem,2,16384,FIFO,55969,3094430,1.81
col.LI.mem,4,1024,LRU,514737,3094430,16.63
col.LI.mem,4,1024,FIFO,524391,3094430,16.95
col.LI.mem,4,2048,LRU,433364,3094430,14.00
col.LI.mem,4,2048,FIFO,442417,3094430,14.30
col.LI.mem,4,4096,LRU,187046,3094430,6.04
col.LI.mem,4,4096,FIFO,212623,3094430,6.87
col.LI.mem,4,8192,LRU,59840,3094430,1.93
col.LI.mem,4,8192,FIFO,75355,3094430,2.44
col.LI.mem,4,16384,LRU,46672,3094430,1.51
col.LI.mem,4,16384,FIFO,54693,3094430,1.77
col.LI.mem,8,1024,LRU,506464,3094430,16.37
col.LI.mem,8,1024,FIFO,507741,3094430,16.41
col.LI.mem,8,2048,LRU,437433,3094430,14.14
col.LI.mem,8,2048,FIFO,455060,3094430,14.71
col.LI.mem,8,4096,LRU,154005,3094430,4.98
col.LI.mem,8,4096,FIFO,183098,3094430,5.92
col.LI.mem,8,8192,LRU,54034,3094430,1.75
col.LI.mem,8,8192,FIFO,73299,3094430,2.37
col.LI.mem,8,16384,LRU,45541,3094430,1.47
col.LI.mem,8,16384,FIFO,53605,3094430,1.73
